"Hourly flow (m3/s), for default inSTREAM 6.0 project",
Values provided for water years 1995-99, Save in .csv format
Date,Hour,Green River flow (cms)
11/13/1995,23,52.1
11/14/1995,0,51.2
11/14/1995,1,51.2
11/14/1995,2,51.2
11/14/1995,3,51.2
11/14/1995,4,51.2
11/14/1995,5,51.2
11/14/1995,6,51.2
11/14/1995,7,51.2
11/14/1995,8,52.1
11/14/1995,9,74.4
11/14/1995,10,94
11/14/1995,11,97.7
11/14/1995,12,97.7
11/14/1995,13,96.7
11/14/1995,14,97.7
11/14/1995,15,97.7
11/14/1995,16,97.7
11/14/1995,17,96.7
11/14/1995,18,97.7
11/14/1995,19,97.7
11/14/1995,20,97.7
11/14/1995,21,83.7
11/14/1995,22,74.4
11/14/1995,23,52.1
11/15/1995,0,51.2
11/15/1995,1,51.2
11/15/1995,2,51.2
11/15/1995,3,51.2
11/15/1995,4,51.2
11/15/1995,5,51.2
11/15/1995,6,51.2
11/15/1995,7,51.2
11/15/1995,8,52.1
11/15/1995,9,73.5
11/15/1995,10,95.8
11/15/1995,11,97.7
11/15/1995,12,96.8
11/15/1995,13,97.7
11/15/1995,14,97.7
11/15/1995,15,97.7
11/15/1995,16,97.7
11/15/1995,17,97.7
11/15/1995,18,96.8
11/15/1995,19,97.7
11/15/1995,20,96.8
11/15/1995,21,83.7
11/15/1995,22,75.4
11/15/1995,23,52.1
11/16/1995,0,51.2
11/16/1995,1,51.2
11/16/1995,2,51.2
11/16/1995,3,51.2
11/16/1995,4,51.2
11/16/1995,5,52.1
11/16/1995,6,51.2
11/16/1995,7,51.2
11/16/1995,8,51.2
11/16/1995,9,73.5
11/16/1995,10,96.8
11/16/1995,11,97.7
11/16/1995,12,97.7
11/16/1995,13,97.7
11/16/1995,14,96.8
11/16/1995,15,97.7
11/16/1995,16,97.7
11/16/1995,17,97.7
11/16/1995,18,97.7
11/16/1995,19,97.7
11/16/1995,20,96.8
11/16/1995,21,83.7
11/16/1995,22,74.4
11/16/1995,23,53
11/17/1995,0,51.2
11/17/1995,1,51.2
11/17/1995,2,51.2
11/17/1995,3,51.2
11/17/1995,4,51.2
11/17/1995,5,51.2
11/17/1995,6,51.2
11/17/1995,7,51.2
11/17/1995,8,52.1
11/17/1995,9,72.6
11/17/1995,10,96.8
11/17/1995,11,97.7
11/17/1995,12,97.7
11/17/1995,13,97.7
11/17/1995,14,97.7
11/17/1995,15,97.7
11/17/1995,16,97.7
11/17/1995,17,97.7
11/17/1995,18,97.7
11/17/1995,19,97.7
11/17/1995,20,97.7
11/17/1995,21,83.8
11/17/1995,22,74.4
11/17/1995,23,53
11/18/1995,0,51.2
11/18/1995,1,51.2
11/18/1995,2,51.2
11/18/1995,3,51.2
11/18/1995,4,51.2
11/18/1995,5,51.2
11/18/1995,6,51.2
11/18/1995,7,51.2
11/18/1995,8,52.1
11/18/1995,9,73.5
11/18/1995,10,95.9
11/18/1995,11,97.7
11/18/1995,12,97.7
11/18/1995,13,97.7
11/18/1995,14,97.7
11/18/1995,15,97.7
11/18/1995,16,97.7
11/18/1995,17,97.7
11/18/1995,18,97.7
11/18/1995,19,97.7
11/18/1995,20,96.8
11/18/1995,21,83.8
11/18/1995,22,74.5
11/18/1995,23,53.1
11/19/1995,0,51.2
11/19/1995,1,51.2
11/19/1995,2,51.2
11/19/1995,3,51.2
11/19/1995,4,51.2
11/19/1995,5,52.1
11/19/1995,6,51.2
11/19/1995,7,51.2
11/19/1995,8,51.2
11/19/1995,9,74.5
11/19/1995,10,95.9
11/19/1995,11,97.7
11/19/1995,12,97.7
11/19/1995,13,97.7
11/19/1995,14,97.7
11/19/1995,15,97.7
11/19/1995,16,97.7
11/19/1995,17,97.7
11/19/1995,18,97.7
11/19/1995,19,96.8
11/19/1995,20,97.7
11/19/1995,21,82.9
11/19/1995,22,75.4
11/19/1995,23,53.1
11/20/1995,0,51.2
11/20/1995,1,51.2
11/20/1995,2,51.2
11/20/1995,3,51.2
11/20/1995,4,51.2
11/20/1995,5,51.2
11/20/1995,6,51.2
11/20/1995,7,52.1
11/20/1995,8,51.2
11/20/1995,9,73.6
11/20/1995,10,96.8
11/20/1995,11,96.8
11/20/1995,12,97.7
11/20/1995,13,96.8
11/20/1995,14,97.7
11/20/1995,15,97.7
11/20/1995,16,97.7
11/20/1995,17,96.8
11/20/1995,18,97.7
11/20/1995,19,97.7
11/20/1995,20,96.8
11/20/1995,21,83.8
11/20/1995,22,74.5
11/20/1995,23,53.1
11/21/1995,0,52.2
11/21/1995,1,51.2
11/21/1995,2,51.2
11/21/1995,3,51.2
11/21/1995,4,51.2
11/21/1995,5,51.2
11/21/1995,6,51.2
11/21/1995,7,51.2
11/21/1995,8,52.2
11/21/1995,9,73.6
11/21/1995,10,95.9
11/21/1995,11,96.8
11/21/1995,12,97.8
11/21/1995,13,97.8
11/21/1995,14,97.8
11/21/1995,15,97.8
11/21/1995,16,97.8
11/21/1995,17,97.8
11/21/1995,18,96.8
11/21/1995,19,97.8
11/21/1995,20,96.8
11/21/1995,21,83.8
11/21/1995,22,75.4
11/21/1995,23,53.1
11/22/1995,0,51.2
11/22/1995,1,51.2
11/22/1995,2,51.2
11/22/1995,3,51.2
11/22/1995,4,51.2
11/22/1995,5,51.2
11/22/1995,6,51.2
11/22/1995,7,51.2
11/22/1995,8,52.2
11/22/1995,9,72.6
11/22/1995,10,96.9
11/22/1995,11,97.8
11/22/1995,12,97.8
11/22/1995,13,97.8
11/22/1995,14,97.8
11/22/1995,15,97.8
11/22/1995,16,97.8
11/22/1995,17,96.9
11/22/1995,18,97.8
11/22/1995,19,97.8
11/22/1995,20,96.9
11/22/1995,21,83.8
11/22/1995,22,75.4
11/22/1995,23,52.2
11/23/1995,0,57.8
11/23/1995,1,56.8
11/23/1995,2,57.8
11/23/1995,3,57.8
11/23/1995,4,57.8
11/23/1995,5,57.8
11/23/1995,6,57.8
11/23/1995,7,68
11/23/1995,8,70.8
11/23/1995,9,82.9
11/23/1995,10,96.9
11/23/1995,11,97.8
11/23/1995,12,97.8
11/23/1995,13,96.9
11/23/1995,14,97.8
11/23/1995,15,97.8
11/23/1995,16,103.4
11/23/1995,17,104.3
11/23/1995,18,104.3
11/23/1995,19,104.3
11/23/1995,20,103.4
11/23/1995,21,82.9
11/23/1995,22,75.5
11/23/1995,23,58.7
11/24/1995,0,57.8
11/24/1995,1,57.8
11/24/1995,2,57.8
11/24/1995,3,56.8
11/24/1995,4,57.8
11/24/1995,5,57.8
11/24/1995,6,57.8
11/24/1995,7,69
11/24/1995,8,69.9
11/24/1995,9,82.9
11/24/1995,10,96.9
11/24/1995,11,97.8
11/24/1995,12,97.8
11/24/1995,13,97.8
11/24/1995,14,96.9
11/24/1995,15,97.8
11/24/1995,16,104.3
11/24/1995,17,104.3
11/24/1995,18,103.4
11/24/1995,19,104.3
11/24/1995,20,103.4
11/24/1995,21,83.8
11/24/1995,22,75.5
11/24/1995,23,58.7
11/25/1995,0,57.8
11/25/1995,1,57.8
11/25/1995,2,56.9
11/25/1995,3,57.8
11/25/1995,4,57.8
11/25/1995,5,57.8
11/25/1995,6,57.8
11/25/1995,7,68
11/25/1995,8,69.9
11/25/1995,9,83.9
11/25/1995,10,96.9
11/25/1995,11,96.9
11/25/1995,12,97.9
11/25/1995,13,97.9
11/25/1995,14,97.9
11/25/1995,15,97.9
11/25/1995,16,103.4
11/25/1995,17,104.4
11/25/1995,18,103.4
11/25/1995,19,104.4
11/25/1995,20,104.4
11/25/1995,21,84.8
11/25/1995,22,74.6
11/25/1995,23,58.7
11/26/1995,0,57.8
11/26/1995,1,57.8
11/26/1995,2,57.8
11/26/1995,3,57.8
11/26/1995,4,57.8
11/26/1995,5,56.9
11/26/1995,6,57.8
11/26/1995,7,69
11/26/1995,8,69.9
11/26/1995,9,83.9
11/26/1995,10,96
11/26/1995,11,97.9
11/26/1995,12,97.9
11/26/1995,13,97.9
11/26/1995,14,97.9
11/26/1995,15,97.9
11/26/1995,16,103.5
11/26/1995,17,104.4
11/26/1995,18,104.4
11/26/1995,19,104.4
11/26/1995,20,103.5
11/26/1995,21,83.9
11/26/1995,22,74.6
11/26/1995,23,59.7
11/27/1995,0,57.8
11/27/1995,1,56.9
11/27/1995,2,57.8
11/27/1995,3,57.8
11/27/1995,4,57.8
11/27/1995,5,57.8
11/27/1995,6,57.8
11/27/1995,7,68
11/27/1995,8,69.9
11/27/1995,9,83.9
11/27/1995,10,97
11/27/1995,11,97.9
11/27/1995,12,97
11/27/1995,13,97.9
11/27/1995,14,97.9
11/27/1995,15,97.9
11/27/1995,16,103.5
11/27/1995,17,104.4
11/27/1995,18,103.5
11/27/1995,19,104.4
11/27/1995,20,103.5
11/27/1995,21,83.9
11/27/1995,22,75.5
11/27/1995,23,58.7
11/28/1995,0,57.8
11/28/1995,1,57.8
11/28/1995,2,57.8
11/28/1995,3,56.9
11/28/1995,4,57.8
11/28/1995,5,57.8
11/28/1995,6,57.8
11/28/1995,7,68.1
11/28/1995,8,69.9
11/28/1995,9,83
11/28/1995,10,97
11/28/1995,11,97
11/28/1995,12,98.9
11/28/1995,13,97.9
11/28/1995,14,97.9
11/28/1995,15,97
11/28/1995,16,104.4
11/28/1995,17,104.4
11/28/1995,18,103.5
11/28/1995,19,104.4
11/28/1995,20,103.5
11/28/1995,21,83
11/28/1995,22,76.5
11/28/1995,23,58.8
11/29/1995,0,57.8
11/29/1995,1,56.9
11/29/1995,2,57.8
11/29/1995,3,57.8
11/29/1995,4,57.8
11/29/1995,5,57.8
11/29/1995,6,57.8
11/29/1995,7,68.1
11/29/1995,8,69.9
11/29/1995,9,81.1
11/29/1995,10,96.1
11/29/1995,11,97.9
11/29/1995,12,97.9
11/29/1995,13,97.9
11/29/1995,14,97.9
11/29/1995,15,97.9
11/29/1995,16,103.5
11/29/1995,17,103.5
11/29/1995,18,104.5
11/29/1995,19,104.5
11/29/1995,20,103.5
11/29/1995,21,85.8
11/29/1995,22,75.5
11/29/1995,23,58.8
11/30/1995,0,63.4
11/30/1995,1,64.4
11/30/1995,2,64.4
11/30/1995,3,64.4
11/30/1995,4,63.4
11/30/1995,5,64.4
11/30/1995,6,67.2
11/30/1995,7,73.7
11/30/1995,8,82.1
11/30/1995,9,92.3
11/30/1995,10,101.7
11/30/1995,11,102.6
11/30/1995,12,101.7
11/30/1995,13,102.6
11/30/1995,14,102.6
11/30/1995,15,102.6
11/30/1995,16,110.1
11/30/1995,17,111
11/30/1995,18,111
11/30/1995,19,110.1
11/30/1995,20,111
11/30/1995,21,84.9
11/30/1995,22,74.6
11/30/1995,23,65.3
12/1/1995,0,64.4
12/1/1995,1,63.5
12/1/1995,2,64.4
12/1/1995,3,64.4
12/1/1995,4,64.4
12/1/1995,5,64.4
12/1/1995,6,66.3
12/1/1995,7,73.7
12/1/1995,8,84
12/1/1995,9,92.4
12/1/1995,10,101.7
12/1/1995,11,102.6
12/1/1995,12,102.6
12/1/1995,13,102.6
12/1/1995,14,102.6
12/1/1995,15,102.6
12/1/1995,16,109.2
12/1/1995,17,111
12/1/1995,18,111
12/1/1995,19,111
12/1/1995,20,110.1
12/1/1995,21,85.8
12/1/1995,22,74.6
12/1/1995,23,65.3
12/2/1995,0,63.5
12/2/1995,1,64.4
12/2/1995,2,64.4
12/2/1995,3,64.4
12/2/1995,4,64.4
12/2/1995,5,63.5
12/2/1995,6,67.2
12/2/1995,7,73.7
12/2/1995,8,83.1
12/2/1995,9,93.3
12/2/1995,10,101.7
12/2/1995,11,102.6
12/2/1995,12,102.6
12/2/1995,13,102.6
12/2/1995,14,101.7
12/2/1995,15,102.6
12/2/1995,16,111.1
12/2/1995,17,110.1
12/2/1995,18,111.1
12/2/1995,19,111.1
12/2/1995,20,110.1
12/2/1995,21,85.9
12/2/1995,22,74.7
12/2/1995,23,64.4
12/3/1995,0,64.4
12/3/1995,1,64.4
12/3/1995,2,64.4
12/3/1995,3,64.4
12/3/1995,4,63.5
12/3/1995,5,64.4
12/3/1995,6,67.2
12/3/1995,7,74.7
12/3/1995,8,83.1
12/3/1995,9,92.4
12/3/1995,10,100.8
12/3/1995,11,102.7
12/3/1995,12,102.7
12/3/1995,13,102.7
12/3/1995,14,102.7
12/3/1995,15,102.7
12/3/1995,16,110.2
12/3/1995,17,111.1
12/3/1995,18,110.2
12/3/1995,19,111.1
12/3/1995,20,111.1
12/3/1995,21,85
12/3/1995,22,74.7
12/3/1995,23,64.4
12/4/1995,0,64.4
12/4/1995,1,64.4
12/4/1995,2,64.4
12/4/1995,3,63.5
12/4/1995,4,64.4
12/4/1995,5,64.4
12/4/1995,6,67.2
12/4/1995,7,73.8
12/4/1995,8,81.2
12/4/1995,9,92.4
12/4/1995,10,101.8
12/4/1995,11,102.7
12/4/1995,12,102.7
12/4/1995,13,102.7
12/4/1995,14,102.7
12/4/1995,15,102.7
12/4/1995,16,110.2
12/4/1995,17,111.1
12/4/1995,18,110.2
12/4/1995,19,111.1
12/4/1995,20,110.2
12/4/1995,21,85.9
12/4/1995,22,74.7
12/4/1995,23,65.4
12/5/1995,0,63.5
12/5/1995,1,64.4
12/5/1995,2,64.4
12/5/1995,3,64.4
12/5/1995,4,63.5
12/5/1995,5,63.5
12/5/1995,6,67.2
12/5/1995,7,73.8
12/5/1995,8,83.1
12/5/1995,9,93.4
12/5/1995,10,100.9
12/5/1995,11,101.8
12/5/1995,12,102.7
12/5/1995,13,102.7
12/5/1995,14,101.8
12/5/1995,15,102.7
12/5/1995,16,110.2
12/5/1995,17,110.2
12/5/1995,18,111.1
12/5/1995,19,111.1
12/5/1995,20,110.2
12/5/1995,21,85.9
12/5/1995,22,74.7
12/5/1995,23,65.4
12/6/1995,0,64.4
12/6/1995,1,63.5
12/6/1995,2,64.4
12/6/1995,3,64.4
12/6/1995,4,64.4
12/6/1995,5,64.4
12/6/1995,6,66.3
12/6/1995,7,73.8
12/6/1995,8,83.1
12/6/1995,9,93.4
12/6/1995,10,101.8
12/6/1995,11,101.8
12/6/1995,12,102.7
12/6/1995,13,102.7
12/6/1995,14,102.7
12/6/1995,15,102.7
12/6/1995,16,109.3
12/6/1995,17,111.1
12/6/1995,18,111.1
12/6/1995,19,111.1
12/6/1995,20,110.2
12/6/1995,21,85.9
12/6/1995,22,74.7
12/6/1995,23,65.4
12/7/1995,0,64.4
12/7/1995,1,64.4
12/7/1995,2,64.4
12/7/1995,3,64.4
12/7/1995,4,64.4
12/7/1995,5,64.4
12/7/1995,6,66.3
12/7/1995,7,74.7
12/7/1995,8,84.1
12/7/1995,9,92.5
12/7/1995,10,101.8
12/7/1995,11,101.8
12/7/1995,12,102.8
12/7/1995,13,102.8
12/7/1995,14,102.8
12/7/1995,15,102.8
12/7/1995,16,110.2
12/7/1995,17,111.2
12/7/1995,18,110.2
12/7/1995,19,111.2
12/7/1995,20,110.2
12/7/1995,21,85.9
12/7/1995,22,74.7
12/7/1995,23,65.4
12/8/1995,0,63.5
12/8/1995,1,64.5
12/8/1995,2,64.5
12/8/1995,3,64.5
12/8/1995,4,64.5
12/8/1995,5,64.5
12/8/1995,6,67.3
12/8/1995,7,73.8
12/8/1995,8,84.1
12/8/1995,9,93.4
12/8/1995,10,100.9
12/8/1995,11,102.8
12/8/1995,12,102.8
12/8/1995,13,102.8
12/8/1995,14,101.9
12/8/1995,15,102.8
12/8/1995,16,110.3
12/8/1995,17,111.2
12/8/1995,18,111.2
12/8/1995,19,110.3
12/8/1995,20,111.2
12/8/1995,21,85
12/8/1995,22,73.8
12/8/1995,23,65.4
12/9/1995,0,64.5
12/9/1995,1,64.5
12/9/1995,2,64.5
12/9/1995,3,64.5
12/9/1995,4,64.5
12/9/1995,5,64.5
12/9/1995,6,66.3
12/9/1995,7,74.8
12/9/1995,8,83.2
12/9/1995,9,91.6
12/9/1995,10,101.9
12/9/1995,11,101.9
12/9/1995,12,101.9
12/9/1995,13,100
12/9/1995,14,100.9
12/9/1995,15,101.9
12/9/1995,16,108.4
12/9/1995,17,110.3
12/9/1995,18,110.3
12/9/1995,19,109.4
12/9/1995,20,108.4
12/9/1995,21,83.2
12/9/1995,22,75.7
12/9/1995,23,65.4
12/10/1995,0,64.5
12/10/1995,1,64.5
12/10/1995,2,64.5
12/10/1995,3,64.5
12/10/1995,4,64.5
12/10/1995,5,64.5
12/10/1995,6,66.4
12/10/1995,7,74.8
12/10/1995,8,84.1
12/10/1995,9,92.5
12/10/1995,10,101.9
12/10/1995,11,102.8
12/10/1995,12,102.8
12/10/1995,13,102.8
12/10/1995,14,102.8
12/10/1995,15,102.8
12/10/1995,16,110.3
12/10/1995,17,111.3
12/10/1995,18,111.3
12/10/1995,19,111.3
12/10/1995,20,110.3
12/10/1995,21,85.1
12/10/1995,22,75.7
12/10/1995,23,65.4
12/11/1995,0,64.5
12/11/1995,1,64.5
12/11/1995,2,64.5
12/11/1995,3,64.5
12/11/1995,4,64.5
12/11/1995,5,64.5
12/11/1995,6,67.3
12/11/1995,7,74.8
12/11/1995,8,84.2
12/11/1995,9,92.6
12/11/1995,10,101.9
12/11/1995,11,102.8
12/11/1995,12,102.8
12/11/1995,13,102.8
12/11/1995,14,102.8
12/11/1995,15,102.8
12/11/1995,16,110.3
12/11/1995,17,112.2
12/11/1995,18,111.3
12/11/1995,19,111.3
12/11/1995,20,109.4
12/11/1995,21,85.1
12/11/1995,22,75.7
12/11/1995,23,65.4
12/12/1995,0,64.5
12/12/1995,1,64.5
12/12/1995,2,64.5
12/12/1995,3,65.5
12/12/1995,4,64.5
12/12/1995,5,64.5
12/12/1995,6,67.3
12/12/1995,7,73.9
12/12/1995,8,83.2
12/12/1995,9,93.5
12/12/1995,10,101.9
12/12/1995,11,102.9
12/12/1995,12,101.9
12/12/1995,13,102.9
12/12/1995,14,102.9
12/12/1995,15,103.8
12/12/1995,16,110.4
12/12/1995,17,111.3
12/12/1995,18,111.3
12/12/1995,19,111.3
12/12/1995,20,110.4
12/12/1995,21,84.2
12/12/1995,22,75.7
12/12/1995,23,65.5
12/13/1995,0,64.5
12/13/1995,1,64.5
12/13/1995,2,64.5
12/13/1995,3,64.5
12/13/1995,4,64.5
12/13/1995,5,64.5
12/13/1995,6,66.4
12/13/1995,7,74.8
12/13/1995,8,82.3
12/13/1995,9,93.5
12/13/1995,10,102
12/13/1995,11,102.9
12/13/1995,12,102.9
12/13/1995,13,102.9
12/13/1995,14,102.9
12/13/1995,15,102.9
12/13/1995,16,110.4
12/13/1995,17,111.3
12/13/1995,18,111.3
12/13/1995,19,111.3
12/13/1995,20,111.3
12/13/1995,21,85.1
12/13/1995,22,74.8
12/13/1995,23,65.5
12/14/1995,0,64.6
12/14/1995,1,64.6
12/14/1995,2,64.6
12/14/1995,3,64.6
12/14/1995,4,64.6
12/14/1995,5,64.6
12/14/1995,6,67.4
12/14/1995,7,73.9
12/14/1995,8,83.3
12/14/1995,9,93.6
12/14/1995,10,102.9
12/14/1995,11,102
12/14/1995,12,102.9
12/14/1995,13,102.9
12/14/1995,14,102.9
12/14/1995,15,103.9
12/14/1995,16,110.4
12/14/1995,17,111.3
12/14/1995,18,111.3
12/14/1995,19,111.3
12/14/1995,20,110.4
12/14/1995,21,86.1
12/14/1995,22,74.8
12/14/1995,23,65.5
12/15/1995,0,64.6
12/15/1995,1,64.6
12/15/1995,2,64.6
12/15/1995,3,64.6
12/15/1995,4,64.6
12/15/1995,5,64.6
12/15/1995,6,67.4
12/15/1995,7,73.9
12/15/1995,8,82.3
12/15/1995,9,91.7
12/15/1995,10,102
12/15/1995,11,102.9
12/15/1995,12,102.9
12/15/1995,13,102.9
12/15/1995,14,102.9
12/15/1995,15,102.9
12/15/1995,16,110.4
12/15/1995,17,111.4
12/15/1995,18,111.4
12/15/1995,19,111.4
12/15/1995,20,110.4
12/15/1995,21,85.1
12/15/1995,22,75.8
12/15/1995,23,65.5
12/16/1995,0,64.6
12/16/1995,1,64.6
12/16/1995,2,65.5
12/16/1995,3,64.6
12/16/1995,4,64.6
12/16/1995,5,64.6
12/16/1995,6,67.4
12/16/1995,7,73.9
12/16/1995,8,85.2
12/16/1995,9,92.7
12/16/1995,10,102
12/16/1995,11,103
12/16/1995,12,103
12/16/1995,13,103
12/16/1995,14,103
12/16/1995,15,103
12/16/1995,16,110.5
12/16/1995,17,111.4
12/16/1995,18,111.4
12/16/1995,19,111.4
12/16/1995,20,111.4
12/16/1995,21,84.2
12/16/1995,22,75.8
12/16/1995,23,64.6
12/17/1995,0,64.6
12/17/1995,1,63.7
12/17/1995,2,64.6
12/17/1995,3,64.6
12/17/1995,4,63.7
12/17/1995,5,64.6
12/17/1995,6,67.4
12/17/1995,7,74
12/17/1995,8,83.3
12/17/1995,9,93.6
12/17/1995,10,102.1
12/17/1995,11,103
12/17/1995,12,101.1
12/17/1995,13,101.1
12/17/1995,14,101.1
12/17/1995,15,101.1
12/17/1995,16,109.5
12/17/1995,17,109.5
12/17/1995,18,108.6
12/17/1995,19,109.5
12/17/1995,20,109.5
12/17/1995,21,85.2
12/17/1995,22,73
12/17/1995,23,65.5
12/18/1995,0,63.7
12/18/1995,1,63.7
12/18/1995,2,64.6
12/18/1995,3,62.8
12/18/1995,4,63.7
12/18/1995,5,64.6
12/18/1995,6,66.5
12/18/1995,7,73
12/18/1995,8,82.4
12/18/1995,9,92.7
12/18/1995,10,100.2
12/18/1995,11,103
12/18/1995,12,101.1
12/18/1995,13,102.1
12/18/1995,14,102.1
12/18/1995,15,102.1
12/18/1995,16,108.6
12/18/1995,17,110.5
12/18/1995,18,110.5
12/18/1995,19,111.4
12/18/1995,20,109.6
12/18/1995,21,85.2
12/18/1995,22,74
12/18/1995,23,63.7
12/19/1995,0,63.7
12/19/1995,1,63.7
12/19/1995,2,63.7
12/19/1995,3,64.6
12/19/1995,4,64.6
12/19/1995,5,64.6
12/19/1995,6,67.5
12/19/1995,7,74
12/19/1995,8,83.4
12/19/1995,9,92.7
12/19/1995,10,102.1
12/19/1995,11,103
12/19/1995,12,102.1
12/19/1995,13,103
12/19/1995,14,103
12/19/1995,15,103
12/19/1995,16,110.5
12/19/1995,17,111.5
12/19/1995,18,111.5
12/19/1995,19,111.5
12/19/1995,20,111.5
12/19/1995,21,86.2
12/19/1995,22,74.9
12/19/1995,23,64.6
12/20/1995,0,64.6
12/20/1995,1,64.6
12/20/1995,2,64.6
12/20/1995,3,64.6
12/20/1995,4,64.6
12/20/1995,5,64.6
12/20/1995,6,66.5
12/20/1995,7,75
12/20/1995,8,84.3
12/20/1995,9,92.7
12/20/1995,10,102.1
12/20/1995,11,103
12/20/1995,12,103
12/20/1995,13,103
12/20/1995,14,103
12/20/1995,15,103
12/20/1995,16,110.5
12/20/1995,17,111.5
12/20/1995,18,111.5
12/20/1995,19,111.5
12/20/1995,20,110.5
12/20/1995,21,85.3
12/20/1995,22,75
12/20/1995,23,65.6
12/21/1995,0,65.6
12/21/1995,1,64.6
12/21/1995,2,64.6
12/21/1995,3,64.6
12/21/1995,4,64.6
12/21/1995,5,64.6
12/21/1995,6,66.5
12/21/1995,7,75
12/21/1995,8,84.3
12/21/1995,9,92.8
12/21/1995,10,102.1
12/21/1995,11,103.1
12/21/1995,12,103.1
12/21/1995,13,103.1
12/21/1995,14,102.1
12/21/1995,15,103.1
12/21/1995,16,110.6
12/21/1995,17,111.5
12/21/1995,18,111.5
12/21/1995,19,111.5
12/21/1995,20,110.6
12/21/1995,21,86.2
12/21/1995,22,75
12/21/1995,23,65.6
12/22/1995,0,64.7
12/22/1995,1,64.7
12/22/1995,2,65.6
12/22/1995,3,64.7
12/22/1995,4,64.7
12/22/1995,5,64.7
12/22/1995,6,67.5
12/22/1995,7,74
12/22/1995,8,85.3
12/22/1995,9,92.8
12/22/1995,10,102.1
12/22/1995,11,103.1
12/22/1995,12,103.1
12/22/1995,13,103.1
12/22/1995,14,103.1
12/22/1995,15,102.1
12/22/1995,16,110.6
12/22/1995,17,111.5
12/22/1995,18,111.5
12/22/1995,19,111.5
12/22/1995,20,111.5
12/22/1995,21,85.3
12/22/1995,22,75
12/22/1995,23,65.6
12/23/1995,0,64.7
12/23/1995,1,64.7
12/23/1995,2,65.6
12/23/1995,3,64.7
12/23/1995,4,64.7
12/23/1995,5,64.7
12/23/1995,6,67.5
12/23/1995,7,75
12/23/1995,8,84.4
12/23/1995,9,92.8
12/23/1995,10,102.2
12/23/1995,11,103.1
12/23/1995,12,103.1
12/23/1995,13,103.1
12/23/1995,14,103.1
12/23/1995,15,103.1
12/23/1995,16,110.6
12/23/1995,17,111.5
12/23/1995,18,111.5
12/23/1995,19,111.5
12/23/1995,20,111.5
12/23/1995,21,86.2
12/23/1995,22,74
12/23/1995,23,66.5
12/24/1995,0,64.7
12/24/1995,1,64.7
12/24/1995,2,64.7
12/24/1995,3,64.7
12/24/1995,4,64.7
12/24/1995,5,65.6
12/24/1995,6,67.5
12/24/1995,7,75
12/24/1995,8,83.4
12/24/1995,9,92.8
12/24/1995,10,102.2
12/24/1995,11,103.1
12/24/1995,12,103.1
12/24/1995,13,103.1
12/24/1995,14,103.1
12/24/1995,15,103.1
12/24/1995,16,110.6
12/24/1995,17,111.6
12/24/1995,18,111.6
12/24/1995,19,111.6
12/24/1995,20,111.6
12/24/1995,21,86.3
12/24/1995,22,75
12/24/1995,23,65.6
12/25/1995,0,64.7
12/25/1995,1,64.7
12/25/1995,2,64.7
12/25/1995,3,64.7
12/25/1995,4,65.6
12/25/1995,5,64.7
12/25/1995,6,67.5
12/25/1995,7,74.1
12/25/1995,8,84.4
12/25/1995,9,92.9
12/25/1995,10,103.2
12/25/1995,11,102.2
12/25/1995,12,103.2
12/25/1995,13,103.2
12/25/1995,14,103.2
12/25/1995,15,103.2
12/25/1995,16,110.7
12/25/1995,17,111.6
12/25/1995,18,111.6
12/25/1995,19,111.6
12/25/1995,20,111.6
12/25/1995,21,86.3
12/25/1995,22,75
12/25/1995,23,66.6
12/26/1995,0,63.8
12/26/1995,1,64.7
12/26/1995,2,64.7
12/26/1995,3,64.7
12/26/1995,4,64.7
12/26/1995,5,64.7
12/26/1995,6,67.5
12/26/1995,7,75
12/26/1995,8,84.4
12/26/1995,9,92.9
12/26/1995,10,102.3
12/26/1995,11,103.2
12/26/1995,12,103.2
12/26/1995,13,103.2
12/26/1995,14,103.2
12/26/1995,15,103.2
12/26/1995,16,110.7
12/26/1995,17,111.6
12/26/1995,18,111.6
12/26/1995,19,111.6
12/26/1995,20,110.7
12/26/1995,21,86.3
12/26/1995,22,76
12/26/1995,23,65.7
12/27/1995,0,64.7
12/27/1995,1,64.7
12/27/1995,2,64.7
12/27/1995,3,64.7
12/27/1995,4,64.7
12/27/1995,5,65.7
12/27/1995,6,67.6
12/27/1995,7,74.1
12/27/1995,8,84.4
12/27/1995,9,93.8
12/27/1995,10,102.3
12/27/1995,11,103.2
12/27/1995,12,103.2
12/27/1995,13,102.3
12/27/1995,14,103.2
12/27/1995,15,103.2
12/27/1995,16,108.8
12/27/1995,17,111.7
12/27/1995,18,111.7
12/27/1995,19,111.7
12/27/1995,20,109.8
12/27/1995,21,84.4
12/27/1995,22,75.1
12/27/1995,23,65.7
12/28/1995,0,63.8
12/28/1995,1,64.8
12/28/1995,2,64.8
12/28/1995,3,64.8
12/28/1995,4,64.8
12/28/1995,5,64.8
12/28/1995,6,66.6
12/28/1995,7,74.1
12/28/1995,8,84.5
12/28/1995,9,93.8
12/28/1995,10,101.3
12/28/1995,11,102.3
12/28/1995,12,103.2
12/28/1995,13,103.2
12/28/1995,14,102.3
12/28/1995,15,102.3
12/28/1995,16,109.8
12/28/1995,17,110.7
12/28/1995,18,111.7
12/28/1995,19,111.7
12/28/1995,20,110.7
12/28/1995,21,85.4
12/28/1995,22,75.1
12/28/1995,23,65.7
